========================================
[2026-03-20 16:03:08] RIFUSDT 从primary榜消失
  霸榜次数: 115 | 最后BBW: 5.36% | 最后价格: 0.0386
  最后Ratio: 1.09

========================================
[2026-03-20 16:03:08] BROCCOLIF3BUSDT 从secondary榜消失
  霸榜次数: 59 | 最后BBW: 5.77% | 最后价格: 0.00317
  最后Ratio: 1.16

========================================
[2026-03-20 16:03:08] KNCUSDT 从primary榜消失
  霸榜次数: 36 | 最后BBW: 2.63% | 最后价格: 0.1356
  最后Ratio: 1.47

========================================
[2026-03-20 16:03:08] BCHUSDT 从primary榜消失
  霸榜次数: 19 | 最后BBW: 3.54% | 最后价格: 465.9
  最后Ratio: 0.07

========================================
[2026-03-20 16:03:08] CVCUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.15% | 最后价格: 0.03151
  最后Ratio: 0.84

========================================
[2026-03-20 16:03:08] ARPAUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.52% | 最后价格: 0.00992
  最后Ratio: 1.58

========================================
[2026-03-20 16:03:08] CAKEUSDT 从primary榜消失
  霸榜次数: 13 | 最后BBW: 2.12% | 最后价格: 1.427
  最后Ratio: 1.15

========================================
[2026-03-20 16:03:08] ALLOUSDT 从primary榜消失
[2026-03-21 12:04:22] DISAPPEAR: OGUSDT (Board:primary, Rounds:3, LastBBW:1.58%)
[2026-03-21 12:15:21] DISAPPEAR: B2USDT (Board:secondary, Rounds:12, LastBBW:0.98%)
[2026-03-21 12:15:21] DISAPPEAR: AVAAIUSDT (Board:secondary, Rounds:12, LastBBW:2.72%)
[2026-03-21 12:15:21] DISAPPEAR: BLESSUSDT (Board:secondary, Rounds:4, LastBBW:1.52%)
[2026-03-21 12:25:58] DISAPPEAR: ZORAUSDT (Board:secondary, Rounds:58, LastBBW:1.77%)
[2026-03-21 12:25:58] DISAPPEAR: ZEREBROUSDT (Board:secondary, Rounds:9, LastBBW:2.91%)
[2026-03-21 12:37:19] DISAPPEAR: MELANIAUSDT (Board:secondary, Rounds:17, LastBBW:3.16%)
[2026-03-21 12:37:19] DISAPPEAR: ALGOUSDT (Board:primary, Rounds:3, LastBBW:1.47%)
[2026-03-21 12:48:15] DISAPPEAR: SONICUSDT (Board:secondary, Rounds:3, LastBBW:3.54%)
[2026-03-21 12:48:15] DISAPPEAR: CLANKERUSDT (Board:secondary, Rounds:3, LastBBW:1.91%)
